Generic Demographic	Generic No Demographic	SVD 32 Features	SVD 128 Features	Slope One
0.9952251458298349	0.9886021303468266	0.9213956611910291	0.9021010671052839	0.9139060250914727
0.991962427043117	0.98457677670678	0.9203412994928781	0.9243274049249616	0.9215560154529422
1.0015771073336417	0.9983338730680725	0.8992445968677635	0.9019858216113048	0.922071081993129
1.0080036257452987	1.0273631983027456	0.9184551618389815	0.9250417020985665	0.9198145406617276
1.0069931328449346	0.9764187656415325	0.9033330606500617	0.9301720457715354	0.9082853933081064
0.997967909208472	1.0173795348781087	0.9270696749570515	0.943491796070375	0.9106163451827668
1.0093409630161108	0.9917808672725937	0.9250391919435274	0.9203097759687662	0.9202631536958212
1.0088892053616108	0.9850681118339927	0.9260420440664335	0.8953575744662969	0.9347832279334061
1.0168315476336085	0.990800048860378	0.8880840731495047	0.9112850729050711	0.927679011184522
1.0069805628473438	0.9862119214656686	0.924745237476066	0.9077375519868858	0.9130459978372054
